"","HeFTy.ID","Max.time..Ma.","Min.time..Ma.","Max.temp..C.","Min.temp..C.","Max.good.time..Ma.","Min.good.time..Ma.","Mean.good.time..Ma.","SD.good.time..Ma.","Max.good.temp..C.","Min.good.temp..C.","Mean.good.temp..C.","SD.good.temp..C.","Sample","Table.ID","Type"
"2",1,1172,1030,1000,950,1171.998415731,1030.572712412,1124.68353780247,43.0637357303097,999.98574515,950.0008441,975.10344789845,14.5020276820114,"1_z007","1a","Less_Restrictive"
"3",2,1171.5,993.1,1000,20,1171.47829395029,993.160370392403,1086.330893549,57.9059227104822,999.49963552,20.1262485,535.86825032498,280.276633121118,"1_z007","1a.1","Less_Restrictive"
"4",3,1171,988.5,20,0,1170.8242924675,988.501924350791,1047.70653429392,53.2667779348061,19.99942802,0.00065662,10.05306953708,5.76330636591823,"1_z007","1a.2","Less_Restrictive"
"5",4,993.1,949.7,20,0,993.099566443021,949.720024603477,975.987131388272,12.5502125218119,19.9843382,0.00278688,10.07305375144,5.75081793833022,"1_z007","2a","Less_Restrictive"
"6",5,993,487.5,282.4,0,992.979315842508,488.315092285207,869.709786236015,139.243044239522,282.3422232192,21.6165912472,186.218271564844,47.8513914143519,"1_z007","2b","Less_Restrictive"
"7",6,992,487,40,0,989.451231211181,487.06582484807,764.832801823379,161.406532490471,39.94747404,0.02907088,19.3039652754,11.4823827105816,"1_z007","2b.1","Less_Restrictive"
"8",7,497,485,40,0,496.99896206,485.010762176,490.920170533207,3.52348586715699,39.99988304,0.00664736,19.94078078556,11.5983348700004,"1_z007","3a","Less_Restrictive"
"9",8,496,201,100,70,495.783432681201,201.32288694,350.13634212068,83.0826363548651,99.9759979,70.04471473,84.80344061407,8.87367148967731,"1_z007","3b","Less_Restrictive"
"10",9,251,2.6,20,0,250.3203256844,2.7254782664,125.045112158674,70.9496721710468,19.9821162,0.02579568,10.56706793908,5.66719381742094,"1_z007","3b.1","Less_Restrictive"
"11",10,2.6,1e-06,20,0,2.59471017463455,0.003481889061196,1.28239490764598,0.756464127176268,19.93382008,0.03598848,9.85142914337999,5.69366171565795,"1_z007","3c","Less_Restrictive"
"12",11,0,0,22,20,0,0,0,0,21.99820088,20.006609152,20.965292925956,0.578324274038536,"1_z007","3c*","Less_Restrictive"
"21",1,1235,1095,1000,950,1235.06337374793,1097.37892578,1190.32826451566,39.8514100640059,999.97216315,950.04541755,974.8066889388,14.5181660475062,"2_z135","1a","Less_Restrictive"
"31",2,1234.99,993.1,1000,20,1234.98446599456,993.797413298094,1134.06873429383,72.3423909542952,997.47781026,21.46923756,502.03286342988,275.349984076573,"2_z135","1a.1","Less_Restrictive"
"41",3,1234.9,988.5,20,0,1234.2837503968,988.603442827166,1076.88011330295,71.8399801795494,19.94498192,0.04261328,10.05720398732,5.80224120020675,"2_z135","1a.2","Less_Restrictive"
"51",4,993.1,949.7,20,0,993.080439007372,949.857514224,972.766429222162,12.5192696671745,19.9893362,0.06272914,10.18179364366,5.74656243789886,"2_z135","2a","Less_Restrictive"
